Time,CAN,Dir,Bit,ID(hex),DLC,D0,D1,D2,D3,D4,D5,D6,D7,,,,,,,,,,,,,,,,,,,
00:13.3,0,RX,29,19F20038,8,0,22,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.3,0,RX,29,9FD0205,8,80,5E,3,31,9F,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.4,0,RX,29,9F11200,8,FF,92,6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
00:13.4,0,RX,29,19F20038,8,0,19,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.4,0,RX,29,9FD0205,8,81,44,3,EB,A1,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.5,0,RX,29,19FD082E,8,DC,0,1,7D,73,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.5,0,RX,29,9F11200,8,FF,95,6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
00:13.5,0,RX,29,DF809A3,8,4A,42,90,46,2,13,78,0,,,,,,,,,,,,,,,,,,,
00:13.5,0,RX,29,19F20038,8,0,13,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.5,0,RX,29,9FD0205,8,82,3F,3,3,A6,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.6,0,RX,29,9F11200,8,FF,97,6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
00:13.6,0,RX,29,DF010A3,8,FF,FF,4A,42,90,46,2,13,,,,,,,,,,,,,,,,,,,
00:13.6,0,RX,29,19F20038,8,0,17,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.6,0,RX,29,9FD0205,8,83,54,3,B7,A7,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.7,0,RX,29,9F503A3,8,FF,FF,FF,30,1,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.7,0,RX,29,9F11200,8,FF,93,6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
00:13.7,0,RX,29,19F20138,8,20,1A,0,FF,FF,FF,FF,DB,,,,,,,,,,,,,,,,,,,
00:13.7,0,RX,29,19F20138,8,21,8D,FF,7F,FF,7F,20,9,,,,,,,,,,,,,,,,,,,
00:13.7,0,RX,29,19F20138,8,22,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
00:13.7,0,RX,29,19F20138,7,23,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
00:13.7,0,RX,29,19F20038,8,0,24,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.7,0,RX,29,9FD0205,8,84,59,3,65,A8,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.8,0,RX,29,DF90BA3,8,FF,FC,B2,4A,4F,0,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.8,0,RX,29,1CFF52A3,8,3B,9F,20,1C,0,0,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.8,0,RX,29,9F11200,8,FF,8C,6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
00:13.8,0,RX,29,19F20038,8,0,2C,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.8,0,RX,29,9FD0205,8,85,5E,3,BD,A8,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.9,0,RX,29,9F11200,8,FF,7C,6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
00:13.9,0,RX,29,19F20038,8,0,2E,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.9,0,RX,29,9FD0205,8,86,44,3,65,A8,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:14.0,0,RX,29,DFE11A3,8,40,0E,C0,E3,A8,14,35,1,,,,,,,,,,,,,,,,,,,
00:14.0,0,RX,29,DFE11A3,8,41,FF,FF,FF,FF,B2,4A,4F,,,,,,,,,,,,,,,,,,,
00:14.0,0,RX,29,DFE11A3,2,42,0,,,,,,,,,,,,,,,,,,,,,,,,,
00:14.0,0,RX,29,9F801A3,8,49,4D,6C,20,AE,90,34,0B,,,,,,,,,,,,,,,,,,,
00:14.0,0,RX,29,9F11200,8,FF,72,6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
00:14.0,0,RX,29,19F20038,8,0,1C,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:14.0,0,RX,29,9FD0205,8,87,54,3,3,A6,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:14.1,0,RX,29,9F11200,8,FF,5D,6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
00:14.1,0,RX,29,19F20038,8,0,15,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:14.1,0,RX,29,9FD0205,8,88,63,3,A5,A4,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:14.1,0,RX,29,DF50B23,8,CD,E0,4,0,0,0,0,FF,,,,,,,,,,,,,,,,,,,
00:14.1,0,RX,29,9F50323,8,D0,2C,1,FF,FF,0,FF,FF,,,,,,,,,,,,,,,,,,,
00:14.1,0,RX,29,19F51323,8,60,0E,FF,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:14.1,0,RX,29,19F51323,8,61,75,E9,B8,1,75,E9,B8,,,,,,,,,,,,,,,,,,,
00:14.1,0,RX,29,19F51323,2,62,1,,,,,,,,,,,,,,,,,,,,,,,,,
00:14.2,0,RX,29,9F802A3,8,FF,FC,A8,14,35,1,FF,FF,,,,,,,,,,,,,,,,,,,
00:14.2,0,RX,29,19F20138,8,30,1A,0,FF,FF,FF,FF,DB,,,,,,,,,,,,,,,,,,,
00:14.2,0,RX,29,19F20138,8,31,8D,FF,7F,FF,7F,20,9,,,,,,,,,,,,,,,,,,,
00:14.2,0,RX,29,19F20138,8,32,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
00:14.2,0,RX,29,19F20138,7,33,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
00:14.2,0,RX,29,19FD0A2D,8,7A,0,0,92,6D,0F,0,FF,,,,,,,,,,,,,,,,,,,
00:14.2,0,RX,29,19F20038,8,0,1C,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:14.2,0,RX,29,9F11200,8,FF,4A,6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
00:14.2,0,RX,29,9FD0205,8,89,9D,3,A5,A4,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:14.3,0,RX,29,19F20038,8,0,1C,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:14.3,0,RX,29,9F11200,8,FF,42,6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
00:14.3,0,RX,29,9FD0205,8,8A,C7,3,54,A5,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:14.4,0,RX,29,19F20038,8,0,18,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:14.4,0,RX,29,9FD0205,8,8B,0B,4,54,A5,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:14.4,0,RX,29,9F11200,8,FF,35,6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
